TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות לפי קופה לתקופה נבחרת 07/1999 - 06/2018,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox113,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox103,Textbox104,Textbox105,Textbox106,Textbox112,Textbox110,Textbox107,Textbox108,Textbox109,SHM3,ID3,Textbox114,Textbox92,Textbox93,Textbox94,Textbox111,Textbox115,Textbox96,Textbox97,Textbox98,Textbox99
"שיעור דמי ניהול ממוצע לשנת
2017",95.3%,87.0,87.0,- - -,0.00%,- - -,- - -,- - -,- - -,06/18-11/16,,קל גמל חיסכון לילד - חוסכים המעדיפים סיכון מועט,11343,95.3%,87.0,87.0,- - -,0.00%,דווח,- - -,06/18-11/16,,קל גמל חיסכון לילד - חוסכים המעדיפים סיכון מועט,11343,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",95.4%,0.6,0.6,- - -,0.00%,- - -,- - -,- - -,- - -,06/18-11/16,,קל גמל חסכון לילד - חוסכים המעדיפים סיכון בינוני,11344,95.4%,0.6,0.6,- - -,0.00%,דווח,- - -,06/18-11/16,,קל גמל חסכון לילד - חוסכים המעדיפים סיכון בינוני,11344,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",95.4%,0.7,0.7,- - -,0.00%,- - -,- - -,- - -,- - -,06/18-11/16,,קל גמל חסכון לילד - חוסכים המעדיפים סיכון מוגבר,11345,95.4%,0.7,0.7,- - -,0.00%,דווח,- - -,06/18-11/16,,קל גמל חסכון לילד - חוסכים המעדיפים סיכון מוגבר,11345,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,0.0,- - -,- - -,- - -,- - -,- - -,- - -,- - -,12/16-12/16,לא פעיל,קל חיסכון לילד הלכתי הלכה איסלאמית,11346,- - -,0.0,- - -,- - -,- - -,אין נתונים לתחום המבוקש,- - -,12/16-12/16,לא פעיל,קל חיסכון לילד הלכתי הלכה איסלאמית,11346,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",98.6%,15.9,14.3,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-12/16,,הלמן-אלדובי חיסכון לילד- שריעה,11352,98.6%,15.9,14.3,0.00%,0.00%,דווח,- - -,06/18-12/16,,הלמן-אלדובי חיסכון לילד- שריעה,11352,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",100.0%,3.8,3.6,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-12/16,,הלמן-אלדובי חיסכון לילד- הלכה,11353,100.0%,3.8,3.6,0.00%,0.00%,דווח,- - -,06/18-12/16,,הלמן-אלדובי חיסכון לילד- הלכה,11353,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",99.6%,92.3,92.7,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-12/16,,הלמן-אלדובי חיסכון לילד- חוסכים המעדיפים סיכון מועט,11354,99.6%,92.3,92.7,0.00%,0.00%,דווח,- - -,06/18-12/16,,הלמן-אלדובי חיסכון לילד- חוסכים המעדיפים סיכון מועט,11354,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",100.0%,18.1,16.7,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-12/16,,הלמן-אלדובי חיסכון לילד- חוסכים המעדיפים סיכון בינוני,11355,100.0%,18.1,16.7,0.00%,0.00%,דווח,- - -,06/18-12/16,,הלמן-אלדובי חיסכון לילד- חוסכים המעדיפים סיכון בינוני,11355,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",97.6%,14.3,13.6,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-12/16,,הלמן-אלדובי חיסכון לילד- חוסכים המעדיפים סיכון מוגבר,11356,97.6%,14.3,13.6,0.00%,0.00%,דווח,- - -,06/18-12/16,,הלמן-אלדובי חיסכון לילד- חוסכים המעדיפים סיכון מוגבר,11356,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",92.2%,88.8,90.1,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-12/16,,אנליסט חיסכון לילד - חוסכים המעדיפים סיכון מועט,11365,92.2%,88.8,90.1,0.00%,0.00%,דווח,- - -,06/18-12/16,,אנליסט חיסכון לילד - חוסכים המעדיפים סיכון מועט,11365,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",88.8%,31.3,32.1,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-12/16,,אנליסט חיסכון לילד - חוסכים המעדיפים סיכון בינוני,11366,88.8%,31.3,32.1,0.00%,0.00%,דווח,- - -,06/18-12/16,,אנליסט חיסכון לילד - חוסכים המעדיפים סיכון בינוני,11366,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",91.0%,29.3,30.2,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-12/16,,אנליסט חיסכון לילד- חוסכים המעדיפים סיכון מוגבר,11367,91.0%,29.3,30.2,0.00%,0.00%,דווח,- - -,06/18-12/16,,אנליסט חיסכון לילד- חוסכים המעדיפים סיכון מוגבר,11367,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",88.6%,2.9,2.9,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-11/16,,אינפיניטי  חיסכון לילד - חוסכים המעדיפים סיכון בינוני,11372,88.6%,2.9,2.9,0.00%,0.00%,דווח,- - -,06/18-11/16,,אינפיניטי  חיסכון לילד - חוסכים המעדיפים סיכון בינוני,11372,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",96.8%,4.9,5.2,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-11/16,,אינפיניטי חיסכון לילד - חוסכים המעדיפים סיכון מוגבר,11373,96.8%,4.9,5.2,0.00%,0.00%,דווח,- - -,06/18-11/16,,אינפיניטי חיסכון לילד - חוסכים המעדיפים סיכון מוגבר,11373,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",90.1%,87.1,88.1,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-11/16,,אינפיניטי חיסכון לילד - חוסכים המעדיפים סיכון מועט,11374,90.1%,87.1,88.1,0.00%,0.00%,דווח,- - -,06/18-11/16,,אינפיניטי חיסכון לילד - חוסכים המעדיפים סיכון מועט,11374,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",85.1%,130.4,133.1,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-12/16,,הראל חיסכון לילד - חוסכים המעדיפים סיכון מועט,11375,85.1%,130.4,133.1,0.00%,0.00%,דווח,- - -,06/18-12/16,,הראל חיסכון לילד - חוסכים המעדיפים סיכון מועט,11375,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",83.2%,65.1,67.2,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-12/16,,הראל חיסכון לילד - חוסכים המעדיפים סיכון בינוני,11376,83.2%,65.1,67.2,0.00%,0.00%,דווח,- - -,06/18-12/16,,הראל חיסכון לילד - חוסכים המעדיפים סיכון בינוני,11376,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",93.3%,55.6,58.0,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-12/16,,הראל חיסכון לילד - חוסכים המעדיפים סיכון מוגבר,11377,93.3%,55.6,58.0,0.00%,0.00%,דווח,- - -,06/18-12/16,,הראל חיסכון לילד - חוסכים המעדיפים סיכון מוגבר,11377,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",94.1%,100.3,101.6,- - -,- - -,- - -,- - -,- - -,- - -,06/18-11/16,,פסגות חיסכון לילד - חוסכים המעדיפים סיכון מועט,11380,94.1%,100.3,101.6,- - -,- - -,דווח,- - -,06/18-11/16,,פסגות חיסכון לילד - חוסכים המעדיפים סיכון מועט,11380,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",93.0%,31.2,31.9,- - -,- - -,- - -,- - -,- - -,- - -,06/18-11/16,,פסגות חיסכון לילד - חוסכים המעדיפים סיכון בינוני,11381,93.0%,31.2,31.9,- - -,- - -,דווח,- - -,06/18-11/16,,פסגות חיסכון לילד - חוסכים המעדיפים סיכון בינוני,11381,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",93.4%,63.2,65.9,- - -,- - -,- - -,- - -,- - -,- - -,06/18-11/16,,פסגות חיסכון לילד  - חוסכים המעדיפים סיכון מוגבר,11382,93.4%,63.2,65.9,- - -,- - -,דווח,- - -,06/18-11/16,,פסגות חיסכון לילד  - חוסכים המעדיפים סיכון מוגבר,11382,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",99.5%,375.3,384.0,- - -,- - -,- - -,- - -,- - -,- - -,06/18-11/16,,פסגות חיסכון לילד - הלכה,11383,99.5%,375.3,384.0,- - -,- - -,דווח,- - -,06/18-11/16,,פסגות חיסכון לילד - הלכה,11383,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",94.1%,101.0,103.0,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-12/16,,מיטב דש חיסכון לילד - חוסכים המעדיפים סיכון מועט,11385,94.1%,101.0,103.0,0.00%,0.00%,דווח,- - -,06/18-12/16,,מיטב דש חיסכון לילד - חוסכים המעדיפים סיכון מועט,11385,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",93.1%,50.3,51.9,0.00%,0.00%,- - -,- - -,- - -,- - -,06/18-12/16,,מיטב דש חיסכון לילד - חוסכים המעדיפים סיכון בינוני,11386,93.1%,50.3,51.9,0.00%,0.00%,דווח,- - -,06/18-12/16,,מיטב דש חיסכון לילד - חוסכים המעדיפים סיכון בינוני,11386,- - -,"3,778.3","3,920.4",,---,- - -,- - -,- - -,,06/18-07/99
