TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות לפי קופה לתקופה נבחרת 06/2017 - 05/2018,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox113,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox103,Textbox104,Textbox105,Textbox106,Textbox112,Textbox110,Textbox107,Textbox108,Textbox109,SHM3,ID3,Textbox114,Textbox92,Textbox93,Textbox94,Textbox111,Textbox115,Textbox96,Textbox97,Textbox98,Textbox99
"שיעור דמי ניהול ממוצע לשנת
2017",90.1%,-84.3,"2,199.2",0.22%,- - -,1.01,4.11%,1.95%,4.61%,05/18-06/17,,** אחים ואחיות - מסלול כללי,418,90.1%,-84.3,"2,199.2",0.22%,- - -,דווח,4.61%,05/18-06/17,,** אחים ואחיות - מסלול כללי,418,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",88.3%,-120.3,"1,455.3",0.22%,- - -,0.90,3.73%,1.70%,3.57%,05/18-06/17,,** השתלמות רופאים כללי,419,88.3%,-120.3,"1,455.3",0.22%,- - -,דווח,3.57%,05/18-06/17,,** השתלמות רופאים כללי,419,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",89.6%,-13.7,204.9,0.47%,- - -,0.93,3.73%,1.98%,3.85%,05/18-06/17,,** פ.ר.ח - כללי,420,89.6%,-13.7,204.9,0.47%,- - -,דווח,3.85%,05/18-06/17,,** פ.ר.ח - כללי,420,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",87.6%,-28.8,817.1,0.33%,- - -,0.80,3.95%,1.12%,3.55%,05/18-06/17,,** קרן השתלמות עובדי חברת חשמל,423,87.6%,-28.8,817.1,0.33%,- - -,דווח,3.55%,05/18-06/17,,** קרן השתלמות עובדי חברת חשמל,423,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",75.7%,45.5,"5,020.5",0.32%,- - -,1.29,5.23%,3.37%,4.97%,05/18-06/17,,** קרן החיסכון לצבא הקבע כללי,438,75.7%,45.5,"5,020.5",0.32%,- - -,דווח,4.97%,05/18-06/17,,** קרן החיסכון לצבא הקבע כללי,438,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",82.7%,95.2,"6,770.5",0.71%,- - -,1.08,4.54%,2.29%,5.20%,05/18-06/17,, *** כלל השתלמות כללי,456,82.7%,95.2,"6,770.5",0.71%,- - -,דווח,5.20%,05/18-06/17,, *** כלל השתלמות כללי,456,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",93.4%,34.0,62.6,0.59%,- - -,- - -,- - -,- - -,3.46%,05/18-06/17,,מגדל השתלמות לבני 60 ומעלה,470,93.4%,34.0,62.6,0.59%,- - -,דווח,3.46%,05/18-06/17,,מגדל השתלמות לבני 60 ומעלה,470,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",100.0%,2.4,30.5,0.45%,- - -,- - -,- - -,- - -,4.39%,05/18-06/17,,מיטב דש השתלמות  כללי פאסיבי,481,100.0%,2.4,30.5,0.45%,- - -,דווח,4.39%,05/18-06/17,,מיטב דש השתלמות  כללי פאסיבי,481,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",88.6%,186.7,"4,465.2",0.25%,- - -,0.99,3.98%,1.77%,2.94%,05/18-06/17,,** מורים על יסודי,482,88.6%,186.7,"4,465.2",0.25%,- - -,דווח,2.94%,05/18-06/17,,** מורים על יסודי,482,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
"שיעור דמי ניהול ממוצע לשנת
2017",84.4%,314.4,"14,155.0",0.15%,- - -,1.00,3.95%,2.00%,3.57%,05/18-06/17,,** מורים וגננות - מסלול כללי,484,84.4%,314.4,"14,155.0",0.15%,- - -,דווח,3.57%,05/18-06/17,,** מורים וגננות - מסלול כללי,484,84.9%,"10,791.4","211,534.0",0.61%,---,- - -,4.42%,2.62%,4.32%,05/18-06/17
